PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Bajpe,2014,1,5,PT
Bajpe,2014,2,3, ACQUITTED 
Bajpe,2014,3,3, ACQUITTED 
Bajpe,2014,4,-,UNDER INVESTIGATION 
Bajpe,2014,5,1, CONVICTION 
Bajpe,2014,6,0,PT
Bajpe,2014,7,, CONVICTION 
Bajpe,2014,8,1, CONVICTION 
Bajpe,2014,9,1,bond over
Bajpe,2014,10,1,bond over
Bajpe,2014,11,4,PT
Bajpe,2014,12,1, CONVICTION 
Bajpe,2014,13,,MISSING PERSON TRACED 
Bajpe,2014,14,1, CONVICTION 
Bajpe,2014,15,-,B 29-06-14
Bajpe,2014,16,1, CONVICTION 
Bajpe,2014,17,10,PT
Bajpe,2014,18,-,B REPORT - 20-04-14
Bajpe,2014,19,,B REPORT - 30-06-14
Bajpe,2014,20,1,PT
Bajpe,2014,21,1,PT
Bajpe,2014,22,1,PT
Bajpe,2014,23,-,Transferred:(Yellapura PS)
Bajpe,2014,24,MISSING CASE,TRACED
Bajpe,2014,25,1,PT
Bajpe,2014,26,1,PT
Bajpe,2014,27,6,PT
Bajpe,2014,28,1, CONVICTION 
Bajpe,2014,29,MISSING CASE,TRACED 
Bajpe,2014,30,1,bond over
Bajpe,2014,31,1,bond over
Bajpe,2014,32,1,bond over
Bajpe,2014,33,1,bond over
Bajpe,2014,34,-,CHARGE ABET 
Bajpe,2014,35,1,bond over
Bajpe,2014,36,1,bond over
Bajpe,2014,37,1,bond over
Bajpe,2014,38,1,bond over
Bajpe,2014,39,1,bond over
Bajpe,2014,40,1,bond over
Bajpe,2014,41,1,bond over
Bajpe,2014,42,1,PT
Bajpe,2014,43,1,bond over
Bajpe,2014,44,,UNDER INVESTIGATION 
Bajpe,2014,45,1,CHARGE SHEET  DATE 22-09-14 PENDING FOR CC 
Bajpe,2014,46,1,PT
Bajpe,2014,47,1,PT
Bajpe,2014,48,1,PT
Bajpe,2014,49,7,PT
Bajpe,2014,50,1, CONVICTION 
Bajpe,2014,51,2, ACQUITTED 
Bajpe,2014,52,-,C REPORT ON 15-06-2014
Bajpe,2014,53,2,PT 
Bajpe,2014,54,5,BOND OVER
Bajpe,2014,55,-,UNDER INVESTIGATION
Bajpe,2014,56,-,C REPORT 23-10-14
Bajpe,2014,57,1,PT 
Bajpe,2014,58,2,bond over
Bajpe,2014,59,1,bond over
Bajpe,2014,60,1, CONVICTION 
Bajpe,2014,61,4,bond over
Bajpe,2014,62,MISSING CASE,UNDER INVESTIGATION
