PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Barke,2014,1,4,PT
Barke,2014,2,0,TRACED 
Barke,2014,3,0,UI
Barke,2014,4,2,PT
Barke,2014,5,1,CONVICTED 
Barke,2014,6,1,PT
Barke,2014,7,0,UN DETECTED
Barke,2014,8,0,UI
Barke,2014,9,0,UN DETECTED
Barke,2014,10,0,UI
Barke,2014,11,0,UI
Barke,2014,12,1,UI
Barke,2014,13,0,UI
Barke,2014,14,0,UI
Barke,2014,15,2,PT
Barke,2014,16,0,UI
Barke,2014,17,0,UI
Barke,2014,18,1,PT
Barke,2014,19,0,UI
Barke,2014,20,1,PT
Barke,2014,21,6,PT
Barke,2014,22,0,TRACED 
Barke,2014,23,4,PT
Barke,2014,24,0,UI
Barke,2014,25,2,PT
Barke,2014,26,1,CONVICTED 
Barke,2014,27,0,PT
Barke,2014,28,0,BOUND OVER
Barke,2014,29,0,BOUND OVER
Barke,2014,30,0,TRACED 
Barke,2014,31,0,TRACED 
Barke,2014,32,0,TRACED 
Barke,2014,33,2,BOUND OVER
Barke,2014,34,1,BOUND OVER
Barke,2014,35,0,UI
Barke,2014,36,0,UI
Barke,2014,37,0,UI
Barke,2014,38,1,BOUND OVER
Barke,2014,39,0,UN DETECTED
Barke,2014,40,0,UI
Barke,2014,41,0,UI
Barke,2014,42,0,TRACED 
Barke,2014,43,0,UI
Barke,2014,44,0,UI
Barke,2014,45,0,UI
Barke,2014,46,0,UI
Barke,2014,47,1,PT
Barke,2014,48,0,PT
Barke,2014,49,0,UI
Barke,2014,50,1,BOUND OVER
Barke,2014,51,1,BOUND OVER
Barke,2014,52,0,UI
Barke,2014,53,1,UI
Barke,2014,54,4,PT
Barke,2014,55,0,TRACED 
Barke,2014,56,2,UI
Barke,2014,57,1,PT
Barke,2014,58,0,PT
Barke,2014,59,0,UI
Barke,2014,60,0,UI
Barke,2014,61,0,TRACED 
Barke,2014,62,2,UI
Barke,2014,63,0,PT
Barke,2014,64,1,PT
Barke,2014,65,1,BOUND OVER
Barke,2014,66,0,UI
Barke,2014,67,1,BOUND OVER
Barke,2014,68,1,BOUND OVER
Barke,2014,69,2,PT
Barke,2014,70,0,TRACED 
Barke,2014,71,0,UI
Barke,2014,72,4,PT
Barke,2014,73,0,BOUND OVER
Barke,2014,74,0,UI
Barke,2014,75,0,UI
Barke,2014,76,0,UI
Barke,2014,77,0,TRACED 
Barke,2014,78,0,UI
Barke,2014,79,0,UI
Barke,2014,80,0,UI
Barke,2014,81,0,UI
Barke,2014,82,0,BOUND OVER
Barke,2014,83,0,TRANSFERD TO UPPINANGADY PS 
Barke,2014,84,1,PT
Barke,2014,85,1,PT
Barke,2014,86,0,UI
Barke,2014,87,0,TRACED 
Barke,2014,88,1,CONVICTED 
Barke,2014,89,0,UI
Barke,2014,90,0,TRACED 
Barke,2014,91,0,UI
Barke,2014,92,0,PT
Barke,2014,93,0,UI
Barke,2014,94,0,PT
Barke,2014,95,1,PT
Barke,2014,96,0,TRACED 
Barke,2014,97,0,UI
Barke,2014,98,0,BOUND OVER
Barke,2014,99,1,BOUND OVER
Barke,2014,100,2,UI
Barke,2014,101,0,UI
Barke,2014,102,7,UI
Barke,2014,103,1,UI
Barke,2014,104,3,UI
Barke,2014,105,2,UI
Barke,2014,106,0,UI
Barke,2014,107,2,CONVICTED 
Barke,2014,108,0,UI
Barke,2014,109,1,UI
Barke,2014,110,0,BOUND OVER
Barke,2014,111,1,PT
Barke,2014,112,0,UI
Barke,2014,113,0,UI
Barke,2014,114,1,UI
Barke,2014,115,4,PT
Barke,2014,116,0,BOUND OVER
Barke,2014,117,0,BOUND OVER
Barke,2014,118,0,BOUND OVER
Barke,2014,119,0,BOUND OVER
Barke,2014,120,0,BOUND OVER
Barke,2014,121,0,BOUND OVER
Barke,2014,122,0,BOUND OVER
Barke,2014,123,0,BOUND OVER
Barke,2014,124,0,BOUND OVER
Barke,2014,125,0,BOUND OVER
Barke,2014,126,0,BOUND OVER
Barke,2014,127,0,BOUND OVER
Barke,2014,128,0,BOUND OVER
Barke,2014,129,0,BOUND OVER
Barke,2014,130,0,BOUND OVER
Barke,2014,131,0,BOUND OVER
Barke,2014,132,0,BOUND OVER
Barke,2014,133,0,BOUND OVER
Barke,2014,134,0,BOUND OVER
Barke,2014,135,0,UI
Barke,2014,136,0,BOUND OVER
Barke,2014,137,0,OTHER DISPOSAL
Barke,2014,138,0,BOUND OVER
Barke,2014,139,0,BOUND OVER
Barke,2014,140,0,BOUND OVER
Barke,2014,141,0,BOUND OVER
Barke,2014,142,0,BOUND OVER
Barke,2014,143,0,BOUND OVER
Barke,2014,144,0,BOUND OVER
Barke,2014,145,0,UI
Barke,2014,146,0,UI
Barke,2014,147,0,UI
Barke,2014,148,0,UI
Barke,2014,149,0,UI
Barke,2014,150,0,UI
Barke,2014,151,0,UI
Barke,2014,152,0,UI
Barke,2014,153,0,BOUND OVER
Barke,2014,154,0,BOUND OVER
Barke,2014,155,0,BOUND OVER
Barke,2014,156,0,BOUND OVER
Barke,2014,157,0,BOUND OVER
Barke,2014,158,0,BOUND OVER
Barke,2014,159,0,UI
Barke,2014,160,0,BOUND OVER
Barke,2014,161,0,BOUND OVER
Barke,2015,1,0,UI
Barke,2015,2,0,TRACED 
Barke,2015,3,0,UI
Barke,2015,4,1,UI
Barke,2015,5,0,TRACED 
Barke,2015,6,0,PT
Barke,2015,7,0,PT
Barke,2015,8,0,PT
Barke,2015,9,0,UI
Barke,2015,10,0,UI
Barke,2015,11,1,CONVICTED 
Barke,2015,12,0,TRACED 
Barke,2015,13,0,UI
Barke,2015,14,0,TRACED 
Barke,2015,15,2,UI
Barke,2015,16,1,PT
Barke,2015,17,0,TRACED 
Barke,2015,18,7,UI
Barke PS ,2015,19,0,UI
Barke,2015,20,0,TRACED 
Barke,2015,21,0,TRACED 
Barke,2015,22,1,UI
Barke,2015,23,0,UI
Barke,2015,24,0,UI
Barke,2015,25,0,UI
Barke,2015,26,7,UI
Barke,2015,27,1,CONVICTED 
Barke,2015,28,1,CONVICTED 
Barke,2015,29,0,UI
Barke,2015,30,0,UI
Barke,2015,31,0,UI
Barke,2015,32,0,UI
Barke,2015,33,0,UI
Barke,2015,34,6,UI
Barke,2015,35,0,UI
Barke,2015,36,7,UI
Barke,2015,37,2,UI
Barke,2015,38,0,UI
Barke,2015,39,8,UI
Barke,2015,40,0,UI
Barke,2015,41,4,UI
