PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Kavoor,2014,1,,Pending Trial
Kavoor,2014,2,10,False Case
Kavoor,2014,3,0,False Case
Kavoor,2014,4,1,Pending Trial
Kavoor,2014,5,1,Pending Trial
Kavoor,2014,6,0,Traced
Kavoor,2014,7,1,False Case
Kavoor,2014,8,0,Un-Detected
Kavoor,2014,9,1,Pending Trial
Kavoor,2014,10,1,Pending Trial
Kavoor,2014,11,0,Traced
Kavoor,2014,12,1,Pending Trial
Kavoor,2014,13,1,Pending Trial
Kavoor,2014,14,0,Convicted
Kavoor,2014,15,3,Pending Trial
Kavoor,2014,16,1,Pending Trial
Kavoor,2014,17,1,Convicted
Kavoor,2014,18,2,False Case
Kavoor,2014,19,1,Pending Trial
Kavoor,2014,20,3,Dis/Acq
Kavoor,2014,21,0,BoundOver
Kavoor,2014,22,0,BoundOver
Kavoor,2014,23,1,Convicted
Kavoor,2014,24,0,Abated
Kavoor,2014,25,1,Convicted
Kavoor,2014,26,1,Pending Trial
Kavoor,2014,27,0,Traced
Kavoor,2014,28,0,Un-Detected
Kavoor,2014,29,0,Pending Trial
Kavoor,2014,30,1,Convicted
Kavoor,2014,31,1,Convicted
Kavoor,2014,32,7,Pending Trial
Kavoor,2014,33,7,ending Trial
Kavoor,2014,34,4,Pending Trial
Kavoor,2014,35,1,BoundOver
Kavoor,2014,36,1,Pending Trial
Kavoor,2014,37,0,False Case
Kavoor,2014,38,0,Un-Detected
Kavoor,2014,39,0,False Case
Kavoor,2014,40,5,Convicted
Kavoor,2014,41,0,BoundOver
Kavoor,2014,42,8,Pending Trial
Kavoor,2014,43,0,Un-Detected
Kavoor,2014,44,17,UI
Kavoor,2014,45,0,BoundOver
Kavoor,2014,46,0,False Case
Kavoor,2014,47,0,False Case
Kavoor,2014,48,1,Pending Trial
Kavoor,2014,49,1,Pending Trial
Kavoor,2014,50,2,Transferred:(CCPS)
Kavoor,2014,51,0,Un-Detected
Kavoor,2014,52,1,Pending Trial
Kavoor,2014,53,0,UI
Kavoor,2014,54,1,Pending Trial
Kavoor,2014,55,0,UI
Kavoor,2014,56,5,Convicted
Kavoor,2014,57,6,Pending Trial
Kavoor,2014,58,5,BoundOver
Kavoor,2014,59,1,Pending Trial
Kavoor,2014,60,5,Pending Trial
Kavoor,2014,61,4,BoundOver
Kavoor,2014,62,1,Convicted
Kavoor,2014,63,2,Pending Trial
Kavoor,2014,64,2,Convicted
Kavoor,2014,65,0,BoundOver
Kavoor,2014,66,0,BoundOver
Kavoor,2014,67,1,Un-Detected
Kavoor,2014,68,1,Convicted
Kavoor,2014,69,1,BoundOver
Kavoor,2014,70,1,Convicted
Kavoor,2014,71,1,Convicted
Kavoor,2014,72,1,Pending Trial
Kavoor,2014,73,1,BoundOver
Kavoor,2014,74,0,UI
Kavoor,2014,75,1,Pending Trial
Kavoor,2014,76,1,BoundOver
Kavoor,2014,77,1,Convicted
Kavoor,2014,78,1,BoundOver
Kavoor,2014,79,2,Convicted
Kavoor,2014,80,1,Pending Trial
Kavoor,2014,81,0,False Case
Kavoor,2014,82,6,Traced
Kavoor,2014,83,1,Pending Trial
Kavoor,2014,84,1,Convicted
Kavoor,2014,85,2,Pending Trial
Kavoor,2014,86,1,Pending Trial
Kavoor,2014,87,1,Pending Trial
Kavoor,2014,88,1,Pending Trial
Kavoor,2014,89,0,Traced
Kavoor,2014,90,1,Transferred:UI(KASARAGODU PS)
Kavoor,2014,91,1,Convicted
Kavoor,2014,92,1,Pending Trial
Kavoor,2014,93,0,UI
Kavoor,2014,94,1,Pending Trial
Kavoor,2014,95,1,UI
Kavoor,2014,96,1,Dis/Acq
Kavoor,2014,97,0,Traced
Kavoor,2014,98,1,False Case
Kavoor,2014,99,0,Pending Trial
Kavoor,2014,100,0,Pending Trial
Kavoor,2014,101,3,Traced
Kavoor,2014,102,1,Pending Trial
Kavoor,2014,103,1,UI
Kavoor,2014,104,13,Pending Trial
Kavoor,2014,105,1,Pending Trial
Kavoor,2014,106,2,Dis/Acq
Kavoor,2014,107,1,Dis/Acq
Kavoor,2014,108,0,BoundOver
Kavoor,2014,109,0,False Case
Kavoor,2014,110,0,UI
Kavoor,2014,111,0,Un-Detected
Kavoor,2014,112,1,Traced
Kavoor,2014,113,1,BoundOver
Kavoor,2014,114,4,False Case
Kavoor,2014,115,0,Pending Trial
Kavoor,2014,116,0,Pending Trial
Kavoor,2014,117,0,UI
Kavoor,2014,118,0,False Case
Kavoor,2014,119,0,raced
Kavoor,2014,120,2,Pending Trial
Kavoor,2014,121,0,Un-Detected
Kavoor,2014,122,1,Pending Trial
Kavoor,2014,123,1,Pending Trial
Kavoor,2014,124,1,Pending Trial
Kavoor,2014,125,0,Traced
Kavoor,2014,126,0,False Case
Kavoor,2014,127,1,Pending Trial
Kavoor,2014,128,0,Un-Detected
Kavoor,2014,129,0,Pending Trial
Kavoor,2014,130,0,UI
Kavoor,2014,131,5,Convicted
Kavoor,2014,132,1,UI
Kavoor,2014,133,0,UI
Kavoor,2014,134,0,UI
Kavoor,2014,135,0,BoundOver
Kavoor,2014,136,0,BoundOver
Kavoor,2014,137,0,BoundOver
Kavoor,2014,138,1,Pending Trial
Kavoor,2014,139,0,UI
Kavoor,2014,140,0,Pending Trial
Kavoor,2014,141,8,Convicted
Kavoor,2014,142,1,UI
Kavoor,2014,143,0,Pending Trial
Kavoor,2014,144,0,UI
Kavoor,2014,145,0,UI
Kavoor,2014,146,2,Convicted
Kavoor,2014,147,0,Pending Trial
Kavoor,2014,148,0,Pending Trial
Kavoor,2014,149,0,Un-Detected
Kavoor,2014,150,1,Convicted
Kavoor,2014,151,0,Transferred:(Itagi PS)
Kavoor,2014,152,0,Pending Trial
Kavoor,2014,153,0,UI
Kavoor,2014,154,0,UI
Kavoor,2014,155,0,False Case
Kavoor,2014,156,0,UI
Kavoor,2014,157,0,Pending Trial
Kavoor,2014,158,0,BoundOver
Kavoor,2014,159,0,UI
Kavoor,2014,160,0,False Case
Kavoor,2014,161,0,False Case
Kavoor,2014,162,0,Pending Trial
Kavoor,2014,163,0,Pending Trial
Kavoor,2014,164,0,Pending Trial
Kavoor,2014,165,0,Pending Trial
Kavoor,2014,166,0,Pending Trial
Kavoor,2014,167,0,UI
Kavoor,2014,168,0,UI
Kavoor,2014,169,0,Traced
Kavoor,2014,170,0,Pending Trial
Kavoor,2014,171,0,Pending Trial
Kavoor,2014,172,0,Pending Trial
Kavoor,2014,173,0,Pending Trial
Kavoor,2014,174,0,UI
Kavoor,2014,175,0,UI
Kavoor,2014,176,0,UI
Kavoor,2014,177,0,Pending Trial
Kavoor,2014,178,0,Un-Detected
Kavoor,2014,179,0,UI
Kavoor,2014,180,0,BoundOver
Kavoor,2014,181,0,BoundOver
Kavoor,2014,182,0,UI
Kavoor,2014,183,0,Pending Trial
Kavoor,2014,184,0,UI
Kavoor,2014,185,0,UI
Kavoor,2014,186,0,Pending Trial
Kavoor,2014,187,0,UI
Kavoor,2014,188,0,Pending Trial
Kavoor,2014,189,0,Pending Trial
Kavoor,2014,190,0,UI
Kavoor,2014,191,0,UI
Kavoor,2014,192,0,UI
Kavoor,2014,193,0,False Case
Kavoor,2014,194,0,UI
Kavoor,2014,195,0,UI
Kavoor,2014,196,0,UI
Kavoor,2014,197,0,Pending Trial
Kavoor,2014,198,0,UI
Kavoor,2014,199,0,Pending Trial
Kavoor,2014,200,0,UI
Kavoor,2014,201,3,Pending Trial
Kavoor,2015,1,0,Traced
Kavoor,2015,2,0,U.I.
Kavoor,2015,3,4,U.I.
Kavoor,2015,4,0,APP Office
Kavoor,2015,5,6,APP Office
Kavoor,2015,6,4,APP Office
Kavoor,2015,7,0,P.T
Kavoor,2015,8,1,P.T.
Kavoor,2015,9,0,Transeffered to Mangalore South P.S. 
