PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Konaje,2014,1,-,Traced (Girl Missing) 
Konaje,2014,2,-,U/I
Konaje,2014,3,3,P.T 
Konaje,2014,4,1,P.T 
Konaje,2014,5,1,Con 
Konaje,2014,6,-,U/I
Konaje,2014,7,-,B Report 
Konaje,2014,8,-,U/I
Konaje,2014,9,1,Con 
Konaje,2014,10,-,Traced (Women Missing) 
Konaje,2014,11,1,"107, 151 Cr.P.C. "
Konaje,2014,12,1,P.T 
Konaje,2014,13,1,Con 
Konaje,2014,14,1,P.T 
Konaje,2014,15,1,P.T 
Konaje,2014,16,-,C Report 
Konaje,2014,17,-,C Report 
Konaje,2014,18,1,Con 
Konaje,2014,19,5,P.T 
Konaje,2014,20,1,Aboted 
Konaje,2014,21,1,P.T 
Konaje,2014,22,-,U/I
Konaje,2014,23,-,U/I
Konaje,2014,24,1,P.T 
Konaje,2014,25,1,U/I
Konaje,2014,26,1,P.T 
Konaje,2014,27,-,Security Case 
Konaje,2014,28,-,Security Case 
Konaje,2014,29,-,Security Case 
Konaje,2014,30,-,Security Case 
Konaje,2014,31,-,Security Case 
Konaje,2014,32,-,Security Case 
Konaje,2014,33,-,Security Case 
Konaje,2014,34,4,U/I
Konaje,2014,35,-,Security Case 
Konaje,2014,36,-,Security Case 
Konaje,2014,37,-,Security Case 
Konaje,2014,38,-,U/I
Konaje,2014,39,-,Security Case 
Konaje,2014,40,1,P.T 
Konaje,2014,41,-,Security Case 
Konaje,2014,42,-,U/I
Konaje,2014,43,-,B Report 
Konaje,2014,44,-,B Report 
Konaje,2014,45,-,Security Case 
Konaje,2014,46,-,U/I
Konaje,2014,47,4,P.T 
Konaje,2014,48,-,U/I
Konaje,2014,49,-,Security Case 
Konaje,2014,50,-,Security Case 
Konaje,2014,51,1,U/I
Konaje,2014,52,2,P.T 
Konaje,2014,53,1,P.T 
Konaje,2014,54,-,Security Case 
Konaje,2014,55,-,Security Case 
Konaje,2014,56,1,Con 
Konaje,2014,57,2,P.T 
Konaje,2014,58,2,P.T 
Konaje,2014,59,-,Security Case 
Konaje,2014,60,1,P.T 
Konaje,2014,61,5,P.T 
Konaje,2014,62,1,Con 
Konaje,2014,63,1,P.T 
Konaje,2014,64,-,U/I
Konaje,2014,65,1,Con 
Konaje,2014,66,-,Security Case 
Konaje,2014,67,1,Con 
Konaje,2014,68,1,Aboted 
Konaje,2014,69,2,U/I
Konaje,2014,70,1,Con 
Konaje,2014,71,1,U/I
Konaje,2014,72,-,U/I
Konaje,2014,73,,Traced (Boy Missing) 
Konaje,2014,74,-,Trnsfer 
Konaje,2014,75,1,P.T 
Konaje,2014,76,1,Con 
Konaje,2014,77,1,Con 
Konaje,2014,78,-,B Report 
Konaje,2014,79,1,Con 
Konaje,2014,80,1,Con 
Konaje,2014,81,1,P.T 
Konaje,2014,82,-,U/I
Konaje,2014,83,-,U/I
Konaje,2014,84,-,U/I
Konaje,2014,85,1,P.T 
