PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Mangalore North,2014,1,1,PT
Mangalore North,2014,2,1,PT
Mangalore North,2014,3,,PT
Mangalore North,2014,4,,C
Mangalore North,2014,5,,C
Mangalore North,2014,6,2,
Mangalore North,2014,7,2,PT
Mangalore North,2014,8,1,transfer
Mangalore North,2014,9,2,C
Mangalore North,2014,10,,c
Mangalore North,2014,11,1,PT
Mangalore North,2014,12,1,ACQ
Mangalore North,2014,13,,C
Mangalore North,2014,14,,B
Mangalore North,2014,15,,TRACED
Mangalore North,2014,16,1,PT
Mangalore North,2014,17,,TRA CCB
Mangalore North,2014,18,,C
Mangalore North,2014,19,1,PT
Mangalore North,2014,20,1,PT
Mangalore North,2014,21,1,C
Mangalore North,2014,22,,C
Mangalore North,2014,23,2,ACQ
Mangalore North,2014,24,2,PT
Mangalore North,2014,25,7,ACQ
Mangalore North,2014,26,1,ACQ
Mangalore North,2014,27,,TRACED
Mangalore North,2014,28,,C
Mangalore North,2014,29,,ACQ
Mangalore North,2014,30,2,PT
Mangalore North,2014,31,,B
Mangalore North,2014,32,,B
Mangalore North,2014,33,1,TRACED
Mangalore North,2014,34,,C
Mangalore North,2014,35,,C
Mangalore North,2014,36,,C
Mangalore North,2014,37,2,PT
Mangalore North,2014,38,1,PT
Mangalore North,2014,39,1,PT
Mangalore North,2014,40,,C
Mangalore North,2014,41,1,PT
Mangalore North,2014,42,5,ACQ
Mangalore North,2014,43,,PT
Mangalore North,2014,44,1,ACQ
Mangalore North,2014,45,1,C
Mangalore North,2014,46,,B
Mangalore North,2014,47,2,C
Mangalore North,2014,48,,PT
Mangalore North,2014,49,1,UI
Mangalore North,2014,50,,UI
Mangalore North,2014,51,,UI
Mangalore North,2014,52,,UI
Mangalore North,2014,53,, PT
Mangalore North,2014,54,7,PT
Mangalore North,2014,55,3,PT
Mangalore North,2014,56,6,CONVICTION
Mangalore North,2014,57,3,UI
Mangalore North,2014,58,1,PT
Mangalore North,2014,59,,ACQ
Mangalore North,2014,60,,C
Mangalore North,2014,61,,C
Mangalore North,2014,62,,B
Mangalore North,2014,63,,C
Mangalore North,2014,64,,C
Mangalore North,2014,65,,PT
Mangalore North,2014,66,,UI
Mangalore North,2014,67,,B
Mangalore North,2014,68,,UI
Mangalore North,2014,69,,PT
Mangalore North,2014,70,1,PT
Mangalore North,2014,71,,C
Mangalore North,2014,72,1,TRACED
Mangalore North,2014,73,,TRACED
Mangalore North,2014,74,,C
