PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Mangalore Rural,2014,01,2,PENDING TRAIL
Mangalore Rural,2014,02,1,PENDING TRAIL
Mangalore Rural,2014,03,1,COURT DISPOSAL
Mangalore Rural,2014,04,0,UNDER INVESTIGATION
Mangalore Rural,2014,05,0,UNDER INVESTIGATION
Mangalore Rural,2014,06,1,COURT DISPOSAL
Mangalore Rural,2014,07,0,UNDER INVESTIGATION
Mangalore Rural,2014,08,1,PENDING TRAIL
Mangalore Rural,2014,09,1,PENDING TRAIL
Mangalore Rural,2014,10,1,UNDER INVESTIGATION
Mangalore Rural,2014,11,0,PENDING TRAIL
Mangalore Rural,2014,12,4,UNDER INVESTIGATION
Mangalore Rural,2014,13,0,TRACED
Mangalore Rural,2014,14,0,UNDER INVESTIGATION
Mangalore Rural,2014,15,0,UNDER INVESTIGATION
Mangalore Rural,2014,16,1,UNDER INVESTIGATION
Mangalore Rural,2014,17,0,TRACED
Mangalore Rural,2014,18,1,COURT DISPOSAL
Mangalore Rural,2014,19,0,UNDER INVESTIGATION
Mangalore Rural,2014,20,1,COURT DISPOSAL
Mangalore Rural,2014,21,0,UNDER INVESTIGATION
Mangalore Rural,2014,22,0,PENDING TRAIL
Mangalore Rural,2014,23,1,COURT DISPOSAL
Mangalore Rural,2014,24,0,UNDER INVESTIGATION
Mangalore Rural,2014,25,0,UNDER INVESTIGATION
Mangalore Rural,2014,26,1,PENDING TRAIL
Mangalore Rural,2014,27,1,PENDING TRAIL
Mangalore Rural,2014,28,1,PENDING TRAIL
Mangalore Rural,2014,29,0,UNDER INVESTIGATION
Mangalore Rural,2014,30,1,COURT DISPOSAL
Mangalore Rural,2014,31,0,UNDER INVESTIGATION
Mangalore Rural,2014,32,1,PENDING TRAIL
Mangalore Rural,2014,33,0,UNDER INVESTIGATION
Mangalore Rural,2014,34,0,UNDER INVESTIGATION
Mangalore Rural,2014,35,1,COURT DISPOSAL
Mangalore Rural,2014,36,1,PENDING TRAIL
Mangalore Rural,2014,37,8,UNDER INVESTIGATION
Mangalore Rural,2014,38,0,UNDER INVESTIGATION
Mangalore Rural,2014,39,1,COURT DISPOSAL
Mangalore Rural,2014,40,0,TRACED
Mangalore Rural,2014,41,7,PENDING TRAIL
Mangalore Rural,2014,42,1,PENDING TRAIL
Mangalore Rural,2014,43,2,CHARGESHEETED
Mangalore Rural,2014,44,1,PENDING TRAIL
Mangalore Rural,2014,45,0,UNDER INVESTIGATION
Mangalore Rural,2014,46,0,UNDER INVESTIGATION
Mangalore Rural,2014,47,0,UNDER INVESTIGATION
Mangalore Rural,2014,48,0,UNDER INVESTIGATION
Mangalore Rural,2014,49,0,UNDER INVESTIGATION
Mangalore Rural,2014,50,1,COURT DISPOSAL
Mangalore Rural,2014,51,0,UNDER INVESTIGATION
Mangalore Rural,2014,52,1,COURT DISPOSAL
Mangalore Rural,2014,53,1,CHARGESHEETED
Mangalore Rural,2014,54,1,PENDING TRAIL
Mangalore Rural,2014,55,0,UNDER INVESTIGATION
Mangalore Rural,2014,56,0,PENDING TRAIL
Mangalore Rural,2014,57,1,PENDING TRAIL
Mangalore Rural,2014,58,1,COURT DISPOSAL
Mangalore Rural,2014,59,1,COURT DISPOSAL
Mangalore Rural,2014,60,1,PENDING TRAIL
Mangalore Rural,2014,61,1,COURT DISPOSAL
Mangalore Rural,2014,62,0,UNDER INVESTIGATION
Mangalore Rural,2014,63,1,PENDING TRAIL
Mangalore Rural,2014,64,1,PENDING TRAIL
Mangalore Rural,2014,65,1,COURT DISPOSAL
Mangalore Rural,2014,66,2,UNDER INVESTIGATION
Mangalore Rural,2014,67,3,UNDER INVESTIGATION
Mangalore Rural,2014,68,0,TRACED
