PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Moodbidri ,2015,1,8,PT
Moodbidri,2015,2,-,TRACED 
Moodbidri,2015,3,-,UI
Moodbidri,2015,4,1,PT
Moodbidri,2015,5,1,PT
Moodbidri,2015,6,-,TRACED 
Moodbidri,2015,7,-,UI
Moodbidri,2015,8,4,PT
Moodbidri,2015,9,1,PT
Moodbidri,2015,10,1,PT
Moodbidri,2015,11,-,B REPORT
Moodbidri,2015,12,1,PT
Moodbidri,2015,13,1,PT
Moodbidri,2015,14,1,PT
Moodbidri,2015,15,-,UI
Moodbidri,2015,16,-,UI
Moodbidri,2015,17,1,PT
Moodbidri,2015,18,1,PT
Moodbidri,2015,19,7,PT
Moodbidri,2015,20,1,PT
Moodbidri,2015,21,-,UI (A - CC pending)
Moodbidri,2015,22,2,UI
Moodbidri,2015,23,1,PT
Moodbidri,2015,24,1,UI (A - CC pending)
Moodbidri,2015,25,-,UI (A - CC pending)
Moodbidri,2015,26,-,UI
Moodbidri,2015,27,-,UI 
Moodbidri,2015,28,-,UI
Moodbidri,2015,29,-,UI 
Moodbidri,2015,30,-,UI 
Moodbidri,2015,31,-,UI 
Moodbidri,2015,32,-,UI 
Moodbidri,2015,33,-,Charge abet 
Moodbidri,2015,34,-,TRACED 
Moodbidri,2015,35,1,PT
Moodbidri,2015,36,-,-
Moodbidri,2015,37,1,UI 
Moodbidri,2015,38,1,PT 
Moodbidri,2015,39,1,PT
Moodbidri,2015,40,1,UI ( A-CC  Pending )
Moodbidri,2015,41,-,UI 
Moodbidri,2015,42,1,UI 
Moodbidri,2015,43,1,PT 
Moodbidri,2015,44,-,TRACED 
Moodbidri,2015,45,1,UI
Moodbidri,2015,46,-,UI
Moodbidri,2015,47,-,UI 
Moodbidri,2015,48,-,UI 
Moodbidri,2015,49,1,UI 
Moodbidri,2015,50,-,UI
Moodbidri,2015,51,-,TRACED 
Moodbidri,2015,52,-,TRACED 
Moodbidri,2015,53,-,UI
Moodbidri,2015,54,-,UI (CC PENDING) 
Moodbidri,2015,55,1,UI 
Moodbidri,2015,56,-,UI 
Moodbidri,2015,57,-,UI 
Moodbidri,2015,58,-,UI 
Moodbidri,2015,59,1,UI 
Moodbidri,2015,60,1,UI
Moodbidri,2015,61,1,UI
Moodbidri,2015,62,-,UI
Moodbidri,2015,63,1,UI
Moodbidri,2015,64,2,UI
Moodbidri,2015,65,-,TRACED 
Moodbidri,2015,66,-,UI 
Moodbidri,2015,67,1,UI
Moodbidri,2015,68,-,UI
Moodbidri,2015,69,-,UI 
Moodbidri,2015,70,-,UI 
Moodbidri,2015,71,-,UI 
Moodbidri,2015,72,-,UI
Moodbidri,2015,73,-,UI 
