PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Moodbidri,2014,1,1,Convition 
Moodbidri,2014,2,1,Convition 
Moodbidri,2014,3,1,PT 
Moodbidri,2014,4,1,PT 
Moodbidri,2014,5,1,PT 
Moodbidri,2014,6,6,PT 
Moodbidri,2014,7,6,PT
Moodbidri,2014,8,-,UI
Moodbidri,2014,9,1,PT 
Moodbidri,2014,10,-,TRACED 
Moodbidri,2014,11,1,Convition 
Moodbidri,2014,12,1,Convition 
Moodbidri,2014,13,2,PT 
Moodbidri,2014,14,7,PT 
Moodbidri,2014,15,-,UN
Moodbidri,2014,16,2,PT 
Moodbidri,2014,17,1,Convition 
Moodbidri,2014,18,1,Convition 
Moodbidri,2014,19,1,Convition 
Moodbidri,2014,20,-,TRACED 
Moodbidri,2014,21,1,Convition 
Moodbidri,2014,22,1,Convition 
Moodbidri,2014,23,1,PT 
Moodbidri,2014,24,1,PT 
Moodbidri,2014,25,1,PT 
Moodbidri,2014,26,-,UN
Moodbidri,2014,27,1,PT 
Moodbidri,2014,28,1,Convition 
Moodbidri,2014,29,1,Convition 
Moodbidri,2014,30,1,UN
Moodbidri,2014,31,1,PT 
Moodbidri,2014,32,1,PT 
Moodbidri,2014,33,1,PT 
Moodbidri,2014,34,----,B REPORT
Moodbidri,2014,35,--,UN
Moodbidri,2014,36,1,Acquitted
Moodbidri,2014,37,1,UI
Moodbidri,2014,38,---,Bond over 
Moodbidri,2014,39,1,Convition 
Moodbidri,2014,40,-,Bond over 
Moodbidri,2014,41,1,Bond over 
Moodbidri,2014,42,1,Convition 
Moodbidri,2014,43,6,PT 
Moodbidri,2014,44,---,TARCED 
Moodbidri,2014,45,1,Convition 
Moodbidri,2014,46,--,TRACED 
Moodbidri,2014,47,1,PT 
Moodbidri,2014,48,---,B REPORT 
Moodbidri,2014,49,--,B REPORT 
Moodbidri,2014,50,-,Bond over 
Moodbidri,2014,51,1,Convition 
Moodbidri,2014,52,--,UN
Moodbidri,2014,53,1,Convition 
Moodbidri,2014,54,4,PT 
Moodbidri,2014,55,1,PT 
Moodbidri,2014,56,1,PT 
Moodbidri,2014,57,--,UI
Moodbidri,2014,58,--,B REPORT 
Moodbidri,2014,59,1,Convition 
Moodbidri,2014,60,4,PT 
Moodbidri,2014,61,--,UN
Moodbidri,2014,62,3,UI
Moodbidri,2014,63,1,PT 
Moodbidri,2014,64,1,PT 
Moodbidri,2014,65,2,PT 
Moodbidri,2014,66,-,UN
Moodbidri,2014,67,4,PT 
Moodbidri,2014,68,-,UN 
Moodbidri,2014,69,1,Acquitted
Moodbidri,2014,70,1,Convition 
Moodbidri,2014,71,--,Charge abet
Moodbidri,2014,72,2,PT 
Moodbidri,2014,73,1,PT 
Moodbidri,2014,74,--,UN 
Moodbidri,2014,75,1,Convition 
Moodbidri,2014,76,1,Convition 
Moodbidri,2014,77,4,PT 
Moodbidri,2014,78,1,Convition 
Moodbidri,2014,79,1,Convition 
Moodbidri,2014,80,1,PT 
Moodbidri,2014,81,1,PT 
Moodbidri,2014,82,1,Convition 
Moodbidri,2014,83,-,UI
Moodbidri,2014,84,1,PT 
Moodbidri,2014,85,1,Convition 
Moodbidri,2014,86,2,PT 
Moodbidri,2014,87,1,PT 
Moodbidri,2014,88,-,TRACED 
Moodbidri,2014,89,-,UI
Moodbidri,2014,90,1,PT 
Moodbidri,2014,91,1,PT 
Moodbidri,2014,92,1,Convition 
Moodbidri,2014,93,1,PT 
Moodbidri,2014,94,1,PT 
Moodbidri,2014,95,1,PT 
Moodbidri,2014,96,-,B REPORT 
Moodbidri,2014,97,3,PT 
Moodbidri,2014,98,-,UI
Moodbidri,2014,99,1,Convition 
Moodbidri,2014,100,-,TRACED 
Moodbidri,2014,101,1,PT 
Moodbidri,2014,102,1,UI
Moodbidri,2014,103,2,UI
Moodbidri,2014,104,3,Compouded
Moodbidri,2014,105,1,PT 
Moodbidri,2014,106,-,dis
