PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Mulki,2014,1,1,PT
Mulki,2014,2,2,BOND OVER
Mulki,2014,3,2,PT
Mulki,2014,4,4,PT
Mulki,2014,5,1,CONVICTED
Mulki,2014,6,6,PT
Mulki,2014,7,1,CONVICTED
Mulki,2014,8,,B REPORT
Mulki,2014,9,,TRACED 
Mulki,2014,10,,B REPORT
Mulki,2014,11,2,PT
Mulki,2014,12,2,PT
Mulki,2014,13,1,CONVICTED
Mulki,2014,14,2,PT
Mulki,2014,15,1,PT
Mulki,2014,16,2,PT
Mulki,2014,17,1,PT
Mulki,2014,18,2,PT
Mulki,2014,19,2,COMP
Mulki,2014,20,1,ACQ
Mulki,2014,21,4,UI
Mulki,2014,22,1,PT
Mulki,2014,23,2,COMP
Mulki,2014,24,,C REPORT
Mulki,2014,25,1,PT
Mulki,2014,26,,TRACED 
Mulki,2014,27,1,CONVICTED
Mulki,2014,28,1,CONVICTED
Mulki,2014,29,1,CONVICTED
Mulki,2014,30,1,PT
Mulki,2014,31,1,CONVICTED
Mulki,2014,32,,UI
Mulki,2014,33,,B REPORT
Mulki,2014,34,1,PT
Mulki,2014,35,1,PT
Mulki,2014,36,1,CONVICTED
Mulki,2014,37,1,PT
Mulki,2014,38,1,B REPORT
Mulki,2014,39,1,PT
Mulki,2014,40,2,UI
Mulki,2014,41,,BOND OVER
Mulki,2014,42,,BOND OVER
Mulki,2014,43,,BOND OVER
Mulki,2014,44,1,BOND OVER
Mulki,2014,45,1,PT
Mulki,2014,46,2,CONVICTED
Mulki,2014,47,,ABATED
Mulki,2014,48,1,PT
Mulki,2014,49,,BOND OVER
Mulki,2014,50,,BOND OVER
Mulki,2014,51,,TRACED 
Mulki,2014,52,,BOND OVER
Mulki,2014,53,,BOND OVER
Mulki,2014,54,2,CONVICTED
Mulki,2014,55,1,CONVICTED
Mulki,2014,56,2,TRANSFERRED TO PANAMBUR PS
Mulki,2014,57,6,PT
Mulki,2014,58,1,BOND OVER
