PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Surathkal,2014,1,0,Traced
Surathkal,2014,2,1,PT
Surathkal,2014,3,1,Conviction
Surathkal,2014,4,2,PT
Surathkal,2014,5,1,Acquitted
Surathkal,2014,6,1,Conviction
Surathkal,2014,7,3,Dismissed in Highcourt
Surathkal,2014,8,0,C Report
Surathkal,2014,9,0,C Report
Surathkal,2014,10,9,PT
Surathkal,2014,11,1,Conviction
Surathkal,2014,12,1,Conviction
Surathkal,2014,13,0,Transferred to East PS
Surathkal,2014,14,3,Acquitted
Surathkal,2014,15,7,Acquitted
Surathkal,2014,16,1,Acquitted
Surathkal,2014,17,0,Bondover
Surathkal,2014,18,1,Conviction
Surathkal,2014,19,1,Bondover
Surathkal,2014,20,0,C report
Surathkal,2014,21,2,PT
Surathkal,2014,22,0,Acquitted
Surathkal,2014,23,2,Chargesheet Submitted awaiting CC 
Surathkal,2014,24,1,PT
Surathkal,2014,25,1,Conviction
Surathkal,2014,26,0,UI
Surathkal,2014,27,1,Conviction
Surathkal,2014,28,1,PT
Surathkal,2014,29,1,Conviction
Surathkal,2014,30,5,PT
Surathkal,2014,31,4,PT
Surathkal,2014,32,0,Traced
Surathkal,2014,33,1,Acquitted
Surathkal,2014,34,1,Conviction
Surathkal,2014,35,2,Acquitted
Surathkal,2014,36,0,C Report
Surathkal,2014,37,0,Bondover
Surathkal,2014,38,0,Acquitted
Surathkal,2014,39,3,PT
Surathkal,2014,40,0,Charge abetted
Surathkal,2014,41,0,C Report
Surathkal,2014,42,0,Transferred to South PS
Surathkal,2014,43,0,C Report
Surathkal,2014,44,3,PT
Surathkal,2014,45,1,Conviction
Surathkal,2014,46,7,Conviction
Surathkal,2014,47,0,C Report
Surathkal,2014,48,1,PT
Surathkal,2014,49,0,C Report
Surathkal,2014,50,0,UI
Surathkal,2014,51,2,PT
Surathkal,2014,52,1,Conviction
Surathkal,2014,53,1,Conviction
Surathkal,2014,54,1,Conviction
Surathkal,2014,55,1,PT
Surathkal,2014,56,6,PT
Surathkal,2014,57,1,PT
Surathkal,2014,58,4,Chargesheet Submitted awaiting CC 
Surathkal,2014,59,1,Bondover
Surathkal,2014,60,1,PT
Surathkal,2014,61,0,Traced
Surathkal,2014,62,0,C report
Surathkal,2014,63,0,UI
Surathkal,2014,64,0,C report
Surathkal,2014,65,1,PT
Surathkal,2014,66,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,67,1,Conviction
Surathkal,2014,68,0,B report
Surathkal,2014,69,0,B report
