PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Trafic East,2014,1,1,PT
Trafic East,2014,2,1,CON
Trafic East,2014,3,1,CON
Trafic East,2014,4,1,CON
Trafic East,2014,5,1,CON
Trafic East,2014,6,1,CON
Trafic East,2014,7,1,CON
Trafic East,2014,8,1,CON
Trafic East,2014,9,1,CON
Trafic East,2014,10,1,PT
Trafic East,2014,11,1,CON
Trafic East,2014,12,1,CON
Trafic East,2014,13,1,CON
Trafic East,2014,14,1,CON
Trafic East,2014,15,1,PT
Trafic East,2014,16,1,CON
Trafic East,2014,17,1,PT
Trafic East,2014,18,1,CON
Trafic East,2014,19,1,CON
Trafic East,2014,20,1,CON
Trafic East,2014,21,1,PT
Trafic East,2014,22,1,PT
Trafic East,2014,23,1,PT
Trafic East,2014,24,1,CON
Trafic East,2014,25,1,CON
Trafic East,2014,26,1,CON
Trafic East,2014,27,1,CON
Trafic East,2014,28,1,PT
Trafic East,2014,29,1,PT
Trafic East,2014,30,1,CON
Trafic East,2014,31,1,PT
Trafic East,2014,32,1,PT
Trafic East,2014,33,1,PT
Trafic East,2014,34,1,PT
Trafic East,2014,35,1,CON
Trafic East,2014,36,1,PT
Trafic East,2014,37,1,CON
Trafic East,2014,38,1,CON
Trafic East,2014,39,1,CON
Trafic East,2014,40,1,CON
Trafic East,2014,41,1,CON
Trafic East,2014,42,1,PT
Trafic East,2014,43,1,PT
Trafic East,2014,44,1,CON
Trafic East,2014,45,1,CON
Trafic East,2014,46,1,CON
Trafic East,2014,47,1,CON
Trafic East,2014,48,1,CON
Trafic East,2014,49,1,PT
Trafic East,2014,50,1,CON
Trafic East,2014,51,1,PT
Trafic East,2014,52,1,CON
Trafic East,2014,53,1,PT
Trafic East,2014,54,1,PT
Trafic East,2014,55,1,CON
Trafic East,2014,56,1,PT
Trafic East,2014,57,1,PT
Trafic East,2014,58,1,CON
Trafic East,2014,59,1,PT
Trafic East,2014,60,1,PT
Trafic East,2014,61,1,PT
Trafic East,2014,62,1,CON
Trafic East,2014,63,1,PT
Trafic East,2014,64,1,CON
Trafic East,2014,65,1,CON
Trafic East,2014,66,1,CON
Trafic East,2014,67,0,"""C"" reported Submitted  "
Trafic East,2014,68,1,PT
Trafic East,2014,69,1,PT
Trafic East,2014,70,1,PT
Trafic East,2014,71,1,CON
Trafic East,2014,72,1,CON
Trafic East,2014,73,1,PT
Trafic East,2014,74,1,PT
Trafic East,2014,75,1,PT
Trafic East,2014,76,1,PT
Trafic East,2014,77,1,PT
Trafic East,2014,78,1,PT
Trafic East,2014,79,1,CON
Trafic East,2014,80,1,CON
Trafic East,2014,81,2,PT
Trafic East,2014,82,1,CON
Trafic East,2014,83,1,PT
Trafic East,2014,84,1,CON
Trafic East,2014,85,1,CON
Trafic East,2014,86,1,CON
Trafic East,2014,87,1,PT
Trafic East,2014,88,1,PT
Trafic East,2014,89,1,PT
Trafic East,2014,90,1,PT
Trafic East,2014,91,0,"""C"" reported Submitted  "
Trafic East,2014,92,1,CON
Trafic East,2014,93,1,PT
Trafic East,2014,94,1,PT
Trafic East,2014,95,1,PT
Trafic East,2014,96,1,PT
Trafic East,2014,97,1,CON
Trafic East,2014,98,1,PT
Trafic East,2014,99,1,PT
Trafic East,2014,100,1,CON
Trafic East,2014,101,1,PT
Trafic East,2014,102,1,PT
Trafic East,2014,103,1,CON
Trafic East,2014,104,1,PT
Trafic East,2014,105,1,PT
Trafic East,2014,106,1,PT
Trafic East,2014,107,1,CON
Trafic East,2014,108,1,PT
Trafic East,2014,109,1,PT
Trafic East,2014,110,1,PT
Trafic East,2014,111,1,PT
Trafic East,2014,112,1,CON
Trafic East,2014,113,1,PT
Trafic East,2014,114,1,PT
Trafic East,2014,115,1,PT
Trafic East,2014,116,1,PT
Trafic East,2014,117,1,CON
