PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Traffic West,2014,1,1,Convicted
Traffic West,2014,2,1,Convicted
Traffic West,2014,3,1,Convicted
Traffic West,2014,4,1,Convicted
Traffic West,2014,5,1,Convicted
Traffic West,2014,6,1,Convicted
Traffic West,2014,7,1,Convicted
Traffic West,2014,8,1,Convicted
Traffic West,2014,9,1,Convicted
Traffic West,2014,10,1,Convicted
Traffic West,2014,11,1,Convicted
Traffic West,2014,12,1,Convicted
Traffic West,2014,13,1,Convicted
Traffic West,2014,14,1,Convicted
Traffic West,2014,15,1,PENDING TRIAL
Traffic West,2014,16,1,Convicted
Traffic West,2014,17,1,Convicted
Traffic West,2014,15,1,Convicted
Traffic West,2014,18,1,Convicted
Traffic West,2014,19,1,PENDING TRIAL
Traffic West,2014,20,1,Convicted
Traffic West,2014,21,1,Convicted
Traffic West,2014,22,1,Convicted
Traffic West,2014,23,1,CHARGE ABATED
Traffic West,2014,24,1,PENDING TRIAL
Traffic West,2014,25,1,Convicted
Traffic West,2014,26,1,Convicted
Traffic West,2014,27,1,Convicted
Traffic West,2014,28,1,Convicted
Traffic West,2014,29,1,PENDING TRIAL
Traffic West,2014,30,1,Convicted
Traffic West,2014,31,1,Convicted
Traffic West,2014,32,1,Convicted
Traffic West,2014,33,1,Convicted
Traffic West,2014,34,1,Convicted
Traffic West,2014,35,1,Convicted
Traffic West,2014,36,1,Convicted
Traffic West,2014,37,1,UN
Traffic West,2014,38,1,Convicted
Traffic West,2014,39,1,Convicted
Traffic West,2014,40,1,Convicted
Traffic West,2014,41,1,Convicted
Traffic West,2014,42,1,PENDING TRIAL
Traffic West,2014,43,1,Convicted
Traffic West,2014,44,1,Convicted
Traffic West,2014,45,1,PENDING TRIAL
Traffic West,2014,46,1,Convicted
Traffic West,2014,47,1,Convicted
Traffic West,2014,48,1,PENDING TRIAL
Traffic West,2014,49,1,Convicted
Traffic West,2014,50,1,Convicted
Traffic West,2014,51,1,Convicted
Traffic West,2014,52,1,Convicted
Traffic West,2014,53,1,Convicted
Traffic West,2014,54,1,Convicted
Traffic West,2014,55,1,Convicted
Traffic West,2014,56,1,PENDING TRIAL
Traffic West,2014,57,1,Convicted
Traffic West,2014,58,1,PENDING TRIAL
Traffic West,2014,59,1,Convicted
Traffic West,2014,60,1,PENDING TRIAL
Traffic West,2014,61,1,Convicted
Traffic West,2014,62,1,PENDING TRIAL
Traffic West,2014,63,1,PENDING TRIAL
Traffic West,2014,64,1,Convicted
Traffic West,2014,65,1,PENDING TRIAL
Traffic West,2014,66,1,Convicted
Traffic West,2014,67,1,Convicted
Traffic West,2014,68,1,Convicted
Traffic West,2014,69,1,PENDING TRIAL
Traffic West,2014,70,1,PENDING TRIAL
Traffic West,2014,71,1,PENDING TRIAL
Traffic West,2014,72,1,PENDING TRIAL
Traffic West,2014,73,1,Convicted
Traffic West,2014,74,1,PENDING TRIAL
Traffic West,2014,75,1,PENDING TRIAL
Traffic West,2014,76,1,Convicted
Traffic West,2014,77,1,Convicted
Traffic West,2014,78,1,PENDING TRIAL
Traffic West,2014,79,1,Convicted
Traffic West,2014,80,1,Convicted
Traffic West,2014,81,1,Convicted
Traffic West,2014,82,1,Convicted
Traffic West,2014,83,1,PENDING TRIAL
Traffic West,2014,84,1,PENDING TRIAL
Traffic West,2014,85,1,Convicted
Traffic West,2014,86,1,PENDING TRIAL
Traffic West,2014,87,1,PENDING TRIAL
Traffic West,2014,88,1,Convicted
Traffic West,2014,89,1,PENDING TRIAL
Traffic West,2014,90,1,PENDING TRIAL
Traffic West,2014,91,1,Convicted
Traffic West,2014,92,1,Convicted
Traffic West,2014,93,1,Convicted
Traffic West,2014,94,1,Convicted
Traffic West,2014,95,1,Convicted
Traffic West,2014,96,1,Convicted
Traffic West,2014,97,1,Convicted
Traffic West,2014,98,1,Convicted
Traffic West,2014,99,1,PENDING TRIAL
Traffic West,2014,100,1,Convicted
Traffic West,2014,101,1,PENDING TRIAL
Traffic West,2014,102,1,Convicted
Traffic West,2014,103,1,PENDING TRIAL
Traffic West,2014,104,1,PENDING TRIAL
Traffic West,2014,105,1,PENDING TRIAL
Traffic West,2014,106,1,PENDING TRIAL
Traffic West,2014,107,1,PENDING TRIAL
Traffic West,2014,108,1,PENDING TRIAL
Traffic West,2014,109,1,Convicted
Traffic West,2014,110,1,Convicted
Traffic West,2014,111,1,PENDING TRIAL
Traffic West,2014,112,1,PENDING TRIAL
Traffic West,2014,113,1,PENDING TRIAL
Traffic West,2014,114,1,PENDING TRIAL
Traffic West,2014,115,1,Convicted
Traffic West,2014,116,1,PENDING TRIAL
Traffic West,2014,117,1,PENDING TRIAL
Traffic West,2014,118,1,Convicted
Traffic West,2014,119,1,PENDING TRIAL
Traffic West,2014,120,1,PENDING TRIAL
Traffic West,2014,121,1,PENDING TRIAL
Traffic West,2014,122,1,PENDING TRIAL
Traffic West,2014,123,1,PENDING TRIAL
Traffic West,2014,124,1,PENDING TRIAL
Traffic West,2014,125,1,PENDING TRIAL
Traffic West,2014,126,1,PENDING TRIAL
Traffic West,2014,127,1,Convicted
Traffic West,2014,128,1,PENDING TRIAL
Traffic West,2014,129,1,PENDING TRIAL
