PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Traffic North,2014,1,,C Report
Traffic North,2014,2,1,CONVICTED
Traffic North,2014,3,1,CONVICTED
Traffic North,2014,4,1,Aquitted
Traffic North,2014,5,1,CONVICTED
Traffic North,2014,6,1,CONVICTED
Traffic North,2014,7,1,Pending Trial
Traffic North,2014,8,1,CONVICTED
Traffic North,2014,9,1,CONVICTED
Traffic North,2014,10,1,Pending Trial
Traffic North,2014,11,1,Pending Trial
Traffic North,2014,12,,Pending Trial
Traffic North,2014,13,1,Pending Trial
Traffic North,2014,14,1,CONVICTED
Traffic North,2014,15,1,Aquitted
Traffic North,2014,16,1,CONVICTED
Traffic North,2014,17,1,CONVICTED
Traffic North,2014,18,1,CONVICTED
Traffic North,2014,19,,C Report
Traffic North,2014,20,1,CONVICTED
Traffic North,2014,21,1,Pending Trial
Traffic North,2014,22,1,Pending Trial
Traffic North,2014,23,1,CONVICTED
Traffic North,2014,24,1,Pending Trial
Traffic North,2014,25,1,CONVICTED
Traffic North,2014,26,1,CONVICTED
Traffic North,2014,27,1,CONVICTED
Traffic North,2014,28,1,CONVICTED
Traffic North,2014,29,1,CONVICTED
Traffic North,2014,30,1,CONVICTED
Traffic North,2014,31,1,Pending Trial
Traffic North,2014,32,,Charge Abated
Traffic North,2014,33,1,CONVICTED
Traffic North,2014,34,,Charge Abated
Traffic North,2014,35,1,CONVICTED
Traffic North,2014,36,1,CONVICTED
Traffic North,2014,37,1,CONVICTED
Traffic North,2014,38,1,CONVICTED
Traffic North,2014,39,1,CONVICTED
Traffic North,2014,40,1,Pending Trial
Traffic North,2014,41,1,CONVICTED
Traffic North,2014,42,1,Pending Trial
Traffic North,2014,43,1,Aquitted
Traffic North,2014,44,1,CONVICTED
Traffic North,2014,45,1,CONVICTED
Traffic North,2014,46,1,CONVICTED
Traffic North,2014,47,1,Pending Trial
Traffic North,2014,48,1,CONVICTED
Traffic North,2014,49,1,CONVICTED
Traffic North,2014,50,1,CONVICTED
Traffic North,2014,51,1,CONVICTED
Traffic North,2014,52,1,CONVICTED
Traffic North,2014,53,1,Pending Trial
Traffic North,2014,54,1,CONVICTED
Traffic North,2014,55,1,CONVICTED
Traffic North,2014,56,1,CONVICTED
Traffic North,2014,57,1,Pending Trial
Traffic North,2014,58,1,Pending Trial
Traffic North,2014,59,1,Pending Trial
Traffic North,2014,60,1,Pending Trial
Traffic North,2014,61,1,CONVICTED
Traffic North,2014,62,1,CONVICTED
Traffic North,2014,63,1,CONVICTED
Traffic North,2014,64,1,CONVICTED
Traffic North,2014,65,1,CONVICTED
Traffic North,2014,66,,Pending Trial
Traffic North,2014,67,1,Pending Trial
Traffic North,2014,68,1,Pending Trial
Traffic North,2014,69,1,Pending Trial
Traffic North,2014,70,1,Pending Trial
Traffic North,2014,71,1,Pending Trial
Traffic North,2014,72,,Pending Trial
Traffic North,2014,73,,Under Investigation
Traffic North,2014,74,1,Pending Trial
Traffic North,2014,75,,Under Investigation
Traffic North,2014,76,,CONVICTED
Traffic North,2014,77,,Pending Trial
Traffic North,2014,78,,Under Investigation
Traffic North,2014,79,1,Pending Trial
Traffic North,2014,80,1,Pending Trial
Traffic North,2014,81,1,Pending Trial
Traffic North,2014,82,1,Pending Trial
Traffic North,2014,83,,Pending Trial
Traffic North,2014,84,1,Pending Trial
Traffic North,2014,85,1,Pending Trial
Traffic North,2014,86,2,Pending Trial
Traffic North,2014,87,1,Pending Trial
Traffic North,2014,88,,Pending Trial
Traffic North,2014,89,,Pending Trial
Traffic North,2014,90,1,CONVICTED
Traffic North,2014,91,1,Pending Trial
Traffic North,2014,92,1,Pending Trial
Traffic North,2014,93,1,Pending Trial
Traffic North,2014,94,1,Pending Trial
Traffic North,2014,95,1,Pending Trial
Traffic North,2014,96,,Under Investigation
Traffic North,2014,97,1,Pending Trial
Traffic North,2014,98,,Pending Trial
Traffic North,2014,99,1,Pending Trial
Traffic North,2014,100,1,Pending Trial
Traffic North,2014,101,1,Pending Trial
Traffic North,2014,102,1,Pending Trial
Traffic North,2014,103,1,Pending Trial
Traffic North,2014,104,1,Pending Trial
Traffic North,2014,105,1,Pending Trial
Traffic North,2014,106,1,Pending Trial
Traffic North,2014,107,1,CONVICTED
Traffic North,2014,108,1,Pending Trial
Traffic North,2014,109,,Under Investigation
Traffic North,2014,110,1,Pending Trial
Traffic North,2014,111,1,Under Investigation
Traffic North,2014,112,1,Under Investigation
Traffic North,2014,113,,Pending Trial
Traffic North,2014,114,,B Report
Traffic North,2014,115,1,Pending Trial
Traffic North,2014,116,1,Pending Trial
Traffic North,2014,117,1,Under Investigation
Traffic North,2014,118,1,Pending Trial
Traffic North,2015,1,1,PENDING TRIAL
Traffic North,2015,2,1,PENDING TRIAL
Traffic North,2015,3,1,Under Investigation
Traffic North,2015,4,,Under Investigation
Traffic North,2015,5,1,PENDING TRIAL
Traffic North,2015,6,,Under Investigation
Traffic North,2015,7,,Under Investigation
Traffic North,2015,8,,PENDING TRIAL
Traffic North,2015,9,,Under Investigation
Traffic North,2015,10,,PENDING TRIAL
Traffic North,2015,11,,PENDING TRIAL
Traffic North,2015,12,1,PENDING TRIAL
Traffic North,2015,13,,Under Investigation
Traffic North,2015,14,,Under Investigation
Traffic North,2015,15,,Under Investigation
Traffic North,2015,16,1,PENDING TRIAL
Traffic North,2015,17,,Under Investigation
Traffic North,2015,18,,PENDING TRIAL
Traffic North,2015,19,1,Under Investigation
Traffic North,2015,20,,Under Investigation
Traffic North,2015,21,1,Under Investigation
Traffic North,2015,22,,PENDING TRIAL
Traffic North,2015,23,,Under Investigation
Traffic North,2015,24,,Under Investigation
Traffic North,2015,25,,Under Investigation
Traffic North,2015,26,,Under Investigation
Traffic North,2015,27,,Under Investigation
Traffic North,2015,28,1,Under Investigation
Traffic North,2015,29,1,Under Investigation
Traffic North,2015,30,1,Under Investigation
Traffic North,2015,31,,Under Investigation
Traffic North,2015,32,1,Under Investigation
Traffic North,2015,33,,Under Investigation
Traffic North,2015,34,,Under Investigation
Traffic North,2015,35,,Under Investigation
Traffic North,2015,36,1,Under Investigation
Traffic North,2015,37,1,Under Investigation
Traffic North,2015,38,1,Under Investigation
Traffic North,2015,39,1,Under Investigation
Traffic North,2015,40,,Under Investigation
Traffic North,2015,41,1,Under Investigation
Traffic North,2015,42,,Under Investigation
Traffic North,2015,43,,Under Investigation
Traffic North,2015,44,,Under Investigation
Traffic North,2015,45,1,Under Investigation
Traffic North,2015,46,,PENDING TRIAL
Traffic North,2015,47,1,Under Investigation
Traffic North,2015,48,,Under Investigation
Traffic North,2015,49,1,Under Investigation
Traffic North,2015,50,1,Under Investigation
Traffic North,2015,51,1,Under Investigation
Traffic North,2015,52,1,Under Investigation
Traffic North,2015,53,1,Under Investigation
Traffic North,2015,54,1,Under Investigation
Traffic North,2015,55,1,Under Investigation
Traffic North,2015,56,1,Under Investigation
Traffic North,2015,57,1,Under Investigation
Traffic North,2015,58,1,Under Investigation
Traffic North,2015,59,1,Under Investigation
Traffic North,2015,60,,Under Investigation
Traffic North,2015,61,1,Under Investigation
Traffic North,2015,62,,Under Investigation
Traffic North,2015,63,1,Under Investigation
Traffic North,2015,64,1,Under Investigation
Traffic North,2015,65,1,Under Investigation
Traffic North,2015,66,1,Under Investigation
