PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Urwa,2014,1,1,Bond Over 
Urwa,2014,2,5,PT
Urwa,2014,3,-,UI
Urwa,2014,4,4,Bond Over 
Urwa,2014,5,1,CON
Urwa,2014,6,20,PT
Urwa,2014,7,2,PT
Urwa,2014,8,-,UI
Urwa,2014,9,3,PT
Urwa,2014,10,-,UI
Urwa,2014,11,-,UI
Urwa,2014,12,-,UI
Urwa,2014,13,1,PT
Urwa,2014,14,1,PT
Urwa,2014,15,-,UI
Urwa,2014,16,-,UI
Urwa,2014,17,1,PT
Urwa,2014,18,5,Bond Over 
Urwa,2014,19,1,Bond Over 
Urwa,2014,20,1,Bond Over 
Urwa,2014,21,-,UI
Urwa,2014,22,,PT
Urwa,2014,23,8,UI
Urwa,2014,24,-,C Final Report 
Urwa,2014,25,,B Final Report 
Urwa,2014,26,1,Bond Over 
Urwa,2014,27,1,Bond Over 
Urwa,2014,28,10,Bond Over 
Urwa,2014,29,1,Bond Over 
Urwa,2014,30,-,B Final Report 
Urwa,2014,31,-,B Final Report 
Urwa,2014,32,4,PT
Urwa,2014,33,4,PT
Urwa,2014,34,1,PT
Urwa,2014,35,1,PT
Urwa,2014,36,1,PT
Urwa,2014,37,-,Traced 
Urwa,2014,38,4,PT
Urwa,2014,39,,Traced 
Urwa,2014,40,6,PT
Urwa,2014,41,2,PT
Urwa,2014,42,-,UI
Urwa,2014,43,2,PT
Urwa,2014,44,-,B Final Report 
Urwa,2014,45,-,UI
Urwa,2014,46,,traced 
Urwa,2014,47,3,PT
Urwa,2014,48,,Traced 
Urwa,2014,49,-,B Final Report 
Urwa,2014,50,-,B Final Report 
Urwa,2014,51,-,UI
Urwa,2014,52,,Traced 
Urwa,2014,53,-,B Final Report 
Urwa,2014,54,2,PT
Urwa,2014,55,-,UI
Urwa,2014,56,,Traced 
Urwa,2014,57,,Traced 
Urwa,2014,58,5,PT
Urwa,2014,59,-,B Final Report 
Urwa,2014,60,-,B Final Report 
Urwa,2014,61,1,Bond Over 
Urwa,2014,62,,B Final Report 
Urwa,2014,63,,Traced 
Urwa,2014,64,0,Charge Abate 
Urwa,2014,65,3,UI
Urwa,2014,66,,B Final Report 
Urwa,2014,67,3,PT
Urwa,2014,68,1,Bond Over 
Urwa,2014,69,1,Bond Over 
Urwa,2014,70,1,Bond Over 
Urwa,2014,71,1,Bond Over 
Urwa,2014,72,1,Bond Over 
Urwa,2014,73,1,Bond Over 
Urwa,2014,74,1,Bond Over 
Urwa,2014,75,1,Bond Over 
Urwa,2014,76,1,Bond Over 
Urwa,2014,77,1,Bond Over 
Urwa,2014,78,1,Bond Over 
Urwa,2014,79,1,Bond Over 
Urwa,2014,80,-,UI
Urwa,2014,81,1,Bond Over 
Urwa,2014,82,1,Bond Over 
Urwa,2014,83,1,Bond Over 
Urwa,2014,84,1,Bond Over 
Urwa,2014,85,1,Bond Over 
Urwa,2014,86,1,Bond Over 
Urwa,2014,87,1,Bond Over 
Urwa,2014,88,3,UI
Urwa,2014,89,1,PT
Urwa,2014,90,,Traced 
Urwa,2014,91,-,UI
Urwa,2014,92,6,Traced 
Urwa,2014,93,-,UI
Urwa,2014,94,4,PT
Urwa,2014,95,4,PT
Urwa,2014,96,2,PT
Urwa,2014,97,2,PT
Urwa,2014,98,-,UI
Urwa,2014,99,2,PT
Urwa,2014,100,-,UI
Urwa,2014,101,-,UI
Urwa,2014,102,2,UI
Urwa,2014,103,,UI
Urwa,2014,104,3,PT
Urwa,2014,105,,Traced 
Urwa,2014,106,1,Chargesheeted (Awaiting CC) 
Urwa,2014,107,-,Transferred To Barke P.S 
Urwa,2014,108,2,Acq
Urwa,2014,109,1,PT
Urwa,2014,110,2,PT
Urwa,2014,111,4,Bond Over 
Urwa,2014,112,1,Chargesheeted (Awaiting CC) 
Urwa,2014,113,3,Bond Over 
Urwa,2014,114,4,Chargesheeted (Awaiting CC) 
Urwa,2014,115,3,Bond Over 
Urwa,2014,116,2,Bond Over 
Urwa,2014,117,6,Bond Over 
Urwa,2014,118,2,Chargesheeted (Awaiting CC) 
Urwa,2014,119,0,Traced 
Urwa,2014,120,0,UI
Urwa,2014,121,31,Con 
Urwa,2014,122,0,Bond Over 
Urwa,2014,123,1,Bond Over 
Urwa,2014,124,1,Bond Over 
Urwa,2014,125,4,UI
Urwa,2014,126,2,Chargesheeted (Awaiting CC) 
Urwa,2014,127,0,B Final Report 
Urwa,2014,128,0,UI
Urwa,2014,129,0,UI
Urwa,2014,130,0,droped 
Urwa,2015,1,1,PT
Urwa,2015,2,0,Traced 
Urwa,2015,3,2,PT
Urwa,2015,4,0,UI
Urwa,2015,5,0,UI
Urwa,2015,6,0,UI
Urwa,2015,7,1,Chargesheeted (Awaiting CC)
Urwa,2015,8,2,UI
Urwa,2015,9,0,UI
Urwa,2015,10,0,UI
Urwa,2015,11,0,UI
Urwa,2015,12,3,UI
Urwa,2015,13,0,Traced 
Urwa,2015,14,1,Chargesheeted (Awaiting CC)
Urwa,2015,15,3,UI
Urwa,2015,16,2,UI
Urwa,2015,17,-,UI
Urwa,2015,18,9,UI
Urwa,2015,19,1,UI
Urwa,2015,20,-,UI
Urwa,2015,21,1,UI
Urwa,2015,22,0,UI
Urwa,2015,23,0,UI
Urwa,2015,24,1,UI
Urwa,2015,25,6,UI
